Dataset,Model,Feature Structure,LR,Score,Metric,Filename
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,concat2,0.0001,98.01,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,concat3,0.0001,98.18,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,original,0.0001,97.85,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,concat2,0.001,97.91,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,concat3,0.001,97.91,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,original,0.001,97.83,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,concat2,0.01,96.43,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.01_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,concat3,0.01,96.89,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.01_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,original,0.01,97.05,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.01_original.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,concat2,0.0001,97.81,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,concat3,0.0001,97.64,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,original,0.0001,97.81,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,concat2,0.001,97.33,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,concat3,0.001,97.78,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,original,0.001,97.83,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,concat2,0.01,96.85,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr0.01_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,concat3,0.01,96.28,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr0.01_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,original,0.01,97.12,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr0.01_original.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,concat2,0.0001,96.91,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,concat3,0.0001,97.18,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,original,0.0001,97.33,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,concat2,0.001,96.78,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,concat3,0.001,96.62,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,original,0.001,97.39,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,concat2,0.01,95.84,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr0.01_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,concat3,0.01,96.26,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr0.01_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,original,0.01,97.24,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr0.01_original.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,concat2,0.0001,98.14,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,concat3,0.0001,98.29,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,original,0.0001,97.89,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,concat2,0.001,97.85,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,concat3,0.001,97.76,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,original,0.001,98.18,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,concat2,0.01,97.24,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr0.01_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,concat3,0.01,97.33,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr0.01_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,original,0.01,97.62,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr0.01_original.log
mb-atmospheric_dust_cls_rdr,mars_mae,concat2,0.0001,92.92,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,mars_mae,concat3,0.0001,94.57,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,mars_mae,original,0.0001,93.79,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,mars_mae,concat2,0.001,94.76,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,mars_mae,concat3,0.001,94.71,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,mars_mae,original,0.001,94.76,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,mars_mae,concat2,0.01,95.15,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr0.01_concat_2.log
mb-atmospheric_dust_cls_rdr,mars_mae,concat3,0.01,95.15,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr0.01_concat_3.log
mb-atmospheric_dust_cls_rdr,mars_mae,original,0.01,94.65,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr0.01_original.log
mb-atmospheric_dust_cls_rdr,openclip,concat2,0.0001,96.66,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,openclip,concat3,0.0001,96.36,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,openclip,original,0.0001,95.97,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,openclip,concat2,0.001,97.1,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,openclip,concat3,0.001,96.64,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,openclip,original,0.001,96.49,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,openclip,concat2,0.01,97.14,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr0.01_concat_2.log
mb-atmospheric_dust_cls_rdr,openclip,concat3,0.01,97.26,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr0.01_concat_3.log
mb-atmospheric_dust_cls_rdr,openclip,original,0.01,97.81,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr0.01_original.log
mb-atmospheric_dust_cls_rdr,satmae,concat2,0.0001,95.01,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,satmae,concat3,0.0001,94.73,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,satmae,original,0.0001,94.4,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,satmae,concat2,0.001,96.34,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,satmae,concat3,0.001,95.26,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,satmae,original,0.001,96.13,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,satmae,concat2,0.01,96.16,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr0.01_concat_2.log
mb-atmospheric_dust_cls_rdr,satmae,concat3,0.01,95.99,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr0.01_concat_3.log
mb-atmospheric_dust_cls_rdr,satmae,original,0.01,96.18,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr0.01_original.log
mb-atmospheric_dust_cls_rdr,siglip2,concat2,0.0001,97.43,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,siglip2,concat3,0.0001,96.82,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,siglip2,original,0.0001,97.43,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,siglip2,concat2,0.001,97.51,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,siglip2,concat3,0.001,97.26,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,siglip2,original,0.001,97.47,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,siglip2,concat2,0.01,96.66,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr0.01_concat_2.log
mb-atmospheric_dust_cls_rdr,siglip2,concat3,0.01,96.11,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr0.01_concat_3.log
mb-atmospheric_dust_cls_rdr,siglip2,original,0.01,97.43,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr0.01_original.log
mb-atmospheric_dust_cls_rdr,swin_v2,concat2,0.0001,96.43,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,swin_v2,concat3,0.0001,96.78,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,swin_v2,original,0.0001,96.34,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,swin_v2,concat2,0.001,96.59,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,swin_v2,concat3,0.001,96.8,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,swin_v2,original,0.001,96.43,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,swin_v2,concat2,0.01,96.57,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr0.01_concat_2.log
mb-atmospheric_dust_cls_rdr,swin_v2,concat3,0.01,96.66,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr0.01_concat_3.log
mb-atmospheric_dust_cls_rdr,swin_v2,original,0.01,96.51,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr0.01_original.log
mb-atmospheric_dust_cls_rdr,vit_l,concat2,0.0001,96.26,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,vit_l,concat3,0.0001,96.18,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,vit_l,original,0.0001,96.11,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,vit_l,concat2,0.001,95.97,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,vit_l,concat3,0.001,95.99,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,vit_l,original,0.001,96.11,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,vit_l,concat2,0.01,95.63,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr0.01_concat_2.log
mb-atmospheric_dust_cls_rdr,vit_l,concat3,0.01,95.82,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr0.01_concat_3.log
mb-atmospheric_dust_cls_rdr,vit_l,original,0.01,95.47,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr0.01_original.log
mb-change_cls_ctx,dinov1_b8,concat2,0.0001,65.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr0.0001_concat_2.log
mb-change_cls_ctx,dinov1_b8,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr0.0001_concat_3.log
mb-change_cls_ctx,dinov1_b8,original,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr0.0001_original.log
mb-change_cls_ctx,dinov1_b8,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr0.001_concat_2.log
mb-change_cls_ctx,dinov1_b8,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr0.001_concat_3.log
mb-change_cls_ctx,dinov1_b8,original,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr0.001_original.log
mb-change_cls_ctx,dinov1_b8,concat2,0.01,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr0.01_concat_2.log
mb-change_cls_ctx,dinov1_b8,concat3,0.01,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr0.01_concat_3.log
mb-change_cls_ctx,dinov1_b8,original,0.01,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr0.01_original.log
mb-change_cls_ctx,dinov2_l14,concat2,0.0001,85.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.0001_concat_2.log
mb-change_cls_ctx,dinov2_l14,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.0001_concat_3.log
mb-change_cls_ctx,dinov2_l14,original,0.0001,75.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.0001_original.log
mb-change_cls_ctx,dinov2_l14,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.001_concat_2.log
mb-change_cls_ctx,dinov2_l14,concat3,0.001,90.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.001_concat_3.log
mb-change_cls_ctx,dinov2_l14,original,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.001_original.log
mb-change_cls_ctx,dinov2_l14,concat2,0.01,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.01_concat_2.log
mb-change_cls_ctx,dinov2_l14,concat3,0.01,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.01_concat_3.log
mb-change_cls_ctx,dinov2_l14,original,0.01,90.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.01_original.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat2,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.0001_concat_2.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.0001_concat_3.log
mb-change_cls_ctx,dinov3_lvd_1cha,original,0.0001,90.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.0001_original.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.001_concat_2.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.001_concat_3.log
mb-change_cls_ctx,dinov3_lvd_1cha,original,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.001_original.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat2,0.01,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.01_concat_2.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat3,0.01,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.01_concat_3.log
mb-change_cls_ctx,dinov3_lvd_1cha,original,0.01,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.01_original.log
mb-change_cls_ctx,dinov3_lvd,concat2,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr0.0001_concat_2.log
mb-change_cls_ctx,dinov3_lvd,concat3,0.0001,85.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr0.0001_concat_3.log
mb-change_cls_ctx,dinov3_lvd,original,0.0001,85.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr0.0001_original.log
mb-change_cls_ctx,dinov3_lvd,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr0.001_concat_2.log
mb-change_cls_ctx,dinov3_lvd,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr0.001_concat_3.log
mb-change_cls_ctx,dinov3_lvd,original,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr0.001_original.log
mb-change_cls_ctx,dinov3_lvd,concat2,0.01,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr0.01_concat_2.log
mb-change_cls_ctx,dinov3_lvd,concat3,0.01,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr0.01_concat_3.log
mb-change_cls_ctx,dinov3_lvd,original,0.01,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr0.01_original.log
mb-change_cls_ctx,dinov3_sat_1cha,concat2,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_1cha_lr0.0001_concat_2.log
mb-change_cls_ctx,dinov3_sat_1cha,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_1cha_lr0.0001_concat_3.log
mb-change_cls_ctx,dinov3_sat_1cha,original,0.0001,70.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_1cha_lr0.0001_original.log
mb-change_cls_ctx,dinov3_sat_1cha,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_1cha_lr0.001_concat_2.log
mb-change_cls_ctx,dinov3_sat_1cha,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_1cha_lr0.001_concat_3.log
mb-change_cls_ctx,dinov3_sat_1cha,original,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_1cha_lr0.001_original.log
mb-change_cls_ctx,dinov3_sat_1cha,concat2,0.01,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_1cha_lr0.01_concat_2.log
mb-change_cls_ctx,dinov3_sat_1cha,concat3,0.01,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_1cha_lr0.01_concat_3.log
mb-change_cls_ctx,dinov3_sat_1cha,original,0.01,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_1cha_lr0.01_original.log
mb-change_cls_ctx,dinov3_sat,concat2,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr0.0001_concat_2.log
mb-change_cls_ctx,dinov3_sat,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr0.0001_concat_3.log
mb-change_cls_ctx,dinov3_sat,original,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr0.0001_original.log
mb-change_cls_ctx,dinov3_sat,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr0.001_concat_2.log
mb-change_cls_ctx,dinov3_sat,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr0.001_concat_3.log
mb-change_cls_ctx,dinov3_sat,original,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr0.001_original.log
mb-change_cls_ctx,dinov3_sat,concat2,0.01,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr0.01_concat_2.log
mb-change_cls_ctx,dinov3_sat,concat3,0.01,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr0.01_concat_3.log
mb-change_cls_ctx,dinov3_sat,original,0.01,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr0.01_original.log
mb-change_cls_ctx,mars_mae,concat2,0.0001,20.0,Best Val Accuracy,mb-change_cls_ctx_mars_mae_lr0.0001_concat_2.log
mb-change_cls_ctx,mars_mae,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_mars_mae_lr0.0001_concat_3.log
mb-change_cls_ctx,mars_mae,original,0.0001,20.0,Best Val Accuracy,mb-change_cls_ctx_mars_mae_lr0.0001_original.log
mb-change_cls_ctx,mars_mae,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_mars_mae_lr0.001_concat_2.log
mb-change_cls_ctx,mars_mae,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_mars_mae_lr0.001_concat_3.log
