Dataset,Model,Feature Structure,LR,Score,Metric,Filename
mb-change_cls_ctx,dinov3_sat_1cha,original,1e-05,85.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_1cha_lr1e-05_original.log
mb-change_cls_ctx,dinov3_sat,concat2,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr0.0001_concat_2.log
mb-change_cls_ctx,dinov3_sat,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr0.0001_concat_3.log
mb-change_cls_ctx,dinov3_sat,original,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr0.0001_original.log
mb-change_cls_ctx,dinov3_sat,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr0.001_concat_2.log
mb-change_cls_ctx,dinov3_sat,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr0.001_concat_3.log
mb-change_cls_ctx,dinov3_sat,original,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr0.001_original.log
mb-change_cls_ctx,dinov3_sat,concat2,1e-05,75.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr1e-05_concat_2.log
mb-change_cls_ctx,dinov3_sat,concat3,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr1e-05_concat_3.log
mb-change_cls_ctx,dinov3_sat,original,1e-05,85.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_sat_lr1e-05_original.log
mb-change_cls_ctx,mars_mae,concat2,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_mars_mae_lr0.0001_concat_2.log
mb-change_cls_ctx,mars_mae,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_mars_mae_lr0.0001_concat_3.log
mb-change_cls_ctx,mars_mae,original,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_mars_mae_lr0.0001_original.log
mb-change_cls_ctx,mars_mae,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_mars_mae_lr0.001_concat_2.log
mb-change_cls_ctx,mars_mae,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_mars_mae_lr0.001_concat_3.log
mb-change_cls_ctx,mars_mae,original,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_mars_mae_lr0.001_original.log
mb-change_cls_ctx,mars_mae,concat2,1e-05,85.0,Best Val Accuracy,mb-change_cls_ctx_mars_mae_lr1e-05_concat_2.log
mb-change_cls_ctx,mars_mae,concat3,1e-05,85.0,Best Val Accuracy,mb-change_cls_ctx_mars_mae_lr1e-05_concat_3.log
mb-change_cls_ctx,mars_mae,original,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_mars_mae_lr1e-05_original.log
mb-change_cls_ctx,openclip,concat2,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_openclip_lr0.0001_concat_2.log
mb-change_cls_ctx,openclip,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_openclip_lr0.0001_concat_3.log
mb-change_cls_ctx,openclip,original,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_openclip_lr0.0001_original.log
mb-change_cls_ctx,openclip,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_openclip_lr0.001_concat_2.log
mb-change_cls_ctx,openclip,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_openclip_lr0.001_concat_3.log
mb-change_cls_ctx,openclip,original,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_openclip_lr0.001_original.log
mb-change_cls_ctx,openclip,concat2,1e-05,85.0,Best Val Accuracy,mb-change_cls_ctx_openclip_lr1e-05_concat_2.log
mb-change_cls_ctx,openclip,concat3,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_openclip_lr1e-05_concat_3.log
mb-change_cls_ctx,openclip,original,1e-05,85.0,Best Val Accuracy,mb-change_cls_ctx_openclip_lr1e-05_original.log
mb-change_cls_ctx,satmae,concat2,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_satmae_lr0.0001_concat_2.log
mb-change_cls_ctx,satmae,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_satmae_lr0.0001_concat_3.log
mb-change_cls_ctx,satmae,original,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_satmae_lr0.0001_original.log
mb-change_cls_ctx,satmae,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_satmae_lr0.001_concat_2.log
mb-change_cls_ctx,satmae,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_satmae_lr0.001_concat_3.log
mb-change_cls_ctx,satmae,original,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_satmae_lr0.001_original.log
mb-change_cls_ctx,satmae,concat2,1e-05,90.0,Best Val Accuracy,mb-change_cls_ctx_satmae_lr1e-05_concat_2.log
mb-change_cls_ctx,satmae,concat3,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_satmae_lr1e-05_concat_3.log
mb-change_cls_ctx,satmae,original,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_satmae_lr1e-05_original.log
mb-change_cls_ctx,siglip2,concat2,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_siglip2_lr0.0001_concat_2.log
mb-change_cls_ctx,siglip2,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_siglip2_lr0.0001_concat_3.log
mb-change_cls_ctx,siglip2,original,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_siglip2_lr0.0001_original.log
mb-change_cls_ctx,siglip2,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_siglip2_lr0.001_concat_2.log
mb-change_cls_ctx,siglip2,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_siglip2_lr0.001_concat_3.log
mb-change_cls_ctx,siglip2,original,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_siglip2_lr0.001_original.log
mb-change_cls_ctx,siglip2,concat2,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_siglip2_lr1e-05_concat_2.log
mb-change_cls_ctx,siglip2,concat3,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_siglip2_lr1e-05_concat_3.log
mb-change_cls_ctx,siglip2,original,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_siglip2_lr1e-05_original.log
mb-change_cls_ctx,swin_v2,concat2,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_swin_v2_lr0.0001_concat_2.log
mb-change_cls_ctx,swin_v2,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_swin_v2_lr0.0001_concat_3.log
mb-change_cls_ctx,swin_v2,original,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_swin_v2_lr0.0001_original.log
mb-change_cls_ctx,swin_v2,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_swin_v2_lr0.001_concat_2.log
mb-change_cls_ctx,swin_v2,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_swin_v2_lr0.001_concat_3.log
mb-change_cls_ctx,swin_v2,original,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_swin_v2_lr0.001_original.log
mb-change_cls_ctx,swin_v2,concat2,1e-05,85.0,Best Val Accuracy,mb-change_cls_ctx_swin_v2_lr1e-05_concat_2.log
mb-change_cls_ctx,swin_v2,concat3,1e-05,50.0,Best Val Accuracy,mb-change_cls_ctx_swin_v2_lr1e-05_concat_3.log
mb-change_cls_ctx,swin_v2,original,1e-05,20.0,Best Val Accuracy,mb-change_cls_ctx_swin_v2_lr1e-05_original.log
mb-change_cls_ctx,vit_l,concat2,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_vit_l_lr0.0001_concat_2.log
mb-change_cls_ctx,vit_l,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_vit_l_lr0.0001_concat_3.log
mb-change_cls_ctx,vit_l,original,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_vit_l_lr0.0001_original.log
mb-change_cls_ctx,vit_l,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_vit_l_lr0.001_concat_2.log
mb-change_cls_ctx,vit_l,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_vit_l_lr0.001_concat_3.log
mb-change_cls_ctx,vit_l,original,0.001,90.0,Best Val Accuracy,mb-change_cls_ctx_vit_l_lr0.001_original.log
mb-change_cls_ctx,vit_l,concat2,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_vit_l_lr1e-05_concat_2.log
mb-change_cls_ctx,vit_l,concat3,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_vit_l_lr1e-05_concat_3.log
mb-change_cls_ctx,vit_l,original,1e-05,90.0,Best Val Accuracy,mb-change_cls_ctx_vit_l_lr1e-05_original.log
mb-change_cls_hirise,dinov1_b8,concat2,0.0001,97.39,Best Val Accuracy,mb-change_cls_hirise_dinov1_b8_lr0.0001_concat_2.log
mb-change_cls_hirise,dinov1_b8,concat3,0.0001,97.91,Best Val Accuracy,mb-change_cls_hirise_dinov1_b8_lr0.0001_concat_3.log
mb-change_cls_hirise,dinov1_b8,original,0.0001,98.06,Best Val Accuracy,mb-change_cls_hirise_dinov1_b8_lr0.0001_original.log
mb-change_cls_hirise,dinov1_b8,concat2,0.001,91.94,Best Val Accuracy,mb-change_cls_hirise_dinov1_b8_lr0.001_concat_2.log
mb-change_cls_hirise,dinov1_b8,concat3,0.001,92.01,Best Val Accuracy,mb-change_cls_hirise_dinov1_b8_lr0.001_concat_3.log
mb-change_cls_hirise,dinov1_b8,original,0.001,91.94,Best Val Accuracy,mb-change_cls_hirise_dinov1_b8_lr0.001_original.log
mb-change_cls_hirise,dinov1_b8,concat2,1e-05,97.46,Best Val Accuracy,mb-change_cls_hirise_dinov1_b8_lr1e-05_concat_2.log
mb-change_cls_hirise,dinov1_b8,concat3,1e-05,97.61,Best Val Accuracy,mb-change_cls_hirise_dinov1_b8_lr1e-05_concat_3.log
mb-change_cls_hirise,dinov1_b8,original,1e-05,98.28,Best Val Accuracy,mb-change_cls_hirise_dinov1_b8_lr1e-05_original.log
mb-change_cls_hirise,dinov2_l14,concat2,0.0001,97.39,Best Val Accuracy,mb-change_cls_hirise_dinov2_l14_lr0.0001_concat_2.log
mb-change_cls_hirise,dinov2_l14,concat3,0.0001,96.72,Best Val Accuracy,mb-change_cls_hirise_dinov2_l14_lr0.0001_concat_3.log
mb-change_cls_hirise,dinov2_l14,original,0.0001,97.91,Best Val Accuracy,mb-change_cls_hirise_dinov2_l14_lr0.0001_original.log
mb-change_cls_hirise,dinov2_l14,concat2,0.001,91.94,Best Val Accuracy,mb-change_cls_hirise_dinov2_l14_lr0.001_concat_2.log
mb-change_cls_hirise,dinov2_l14,concat3,0.001,91.94,Best Val Accuracy,mb-change_cls_hirise_dinov2_l14_lr0.001_concat_3.log
mb-change_cls_hirise,dinov2_l14,original,0.001,91.94,Best Val Accuracy,mb-change_cls_hirise_dinov2_l14_lr0.001_original.log
mb-change_cls_hirise,dinov2_l14,concat2,1e-05,98.66,Best Val Accuracy,mb-change_cls_hirise_dinov2_l14_lr1e-05_concat_2.log
mb-change_cls_hirise,dinov2_l14,concat3,1e-05,98.06,Best Val Accuracy,mb-change_cls_hirise_dinov2_l14_lr1e-05_concat_3.log
mb-change_cls_hirise,dinov2_l14,original,1e-05,98.51,Best Val Accuracy,mb-change_cls_hirise_dinov2_l14_lr1e-05_original.log
mb-change_cls_hirise,dinov3_lvd_1cha,concat2,0.0001,97.99,Best Val Accuracy,mb-change_cls_hirise_dinov3_lvd_1cha_lr0.0001_concat_2.log
mb-change_cls_hirise,dinov3_lvd_1cha,concat3,0.0001,97.99,Best Val Accuracy,mb-change_cls_hirise_dinov3_lvd_1cha_lr0.0001_concat_3.log
mb-change_cls_hirise,dinov3_lvd_1cha,original,0.0001,98.66,Best Val Accuracy,mb-change_cls_hirise_dinov3_lvd_1cha_lr0.0001_original.log
mb-change_cls_hirise,dinov3_lvd_1cha,concat2,0.001,95.97,Best Val Accuracy,mb-change_cls_hirise_dinov3_lvd_1cha_lr0.001_concat_2.log
mb-change_cls_hirise,dinov3_lvd_1cha,concat3,0.001,96.42,Best Val Accuracy,mb-change_cls_hirise_dinov3_lvd_1cha_lr0.001_concat_3.log
mb-change_cls_hirise,dinov3_lvd_1cha,original,0.001,96.94,Best Val Accuracy,mb-change_cls_hirise_dinov3_lvd_1cha_lr0.001_original.log
mb-change_cls_hirise,dinov3_lvd_1cha,concat2,1e-05,97.39,Best Val Accuracy,mb-change_cls_hirise_dinov3_lvd_1cha_lr1e-05_concat_2.log
